lecture	start	end	dur	dur_pct_of_lecture
w3-35	1.5	13.0	11.5	7%
w3-35	15.0	32.0	17.0	11%
w3-35	40.0	61.5	21.5	14%
w3-35	62.5	71.5	9.0	6%
w3-35	71.5	90.5	19.0	12%
w3-35	98.0	117.5	19.5	12%
w3-35	120.5	138.5	18.0	12%
w3-35	140.5	156.0	15.5	10%
