lecture	start	end	dur	dur_pct_of_lecture
w3-38	3.0	22.0	19.0	4%
w3-38	33.0	50.0	17.0	4%
w3-38	51.0	76.5	25.5	6%
w3-38	90.0	105.5	15.5	4%
w3-38	105.5	126.5	21.0	5%
w3-38	126.5	141.0	14.5	3%
w3-38	141.0	155.0	14.0	3%
w3-38	155.0	166.5	11.5	3%
w3-38	166.5	184.0	17.5	4%
w3-38	184.0	196.0	12.0	3%
w3-38	196.0	206.5	10.5	2%
w3-38	206.5	222.5	16.0	4%
w3-38	222.5	238.0	15.5	4%
w3-38	238.0	253.0	15.0	4%
w3-38	253.0	265.5	12.5	3%
w3-38	265.5	335.5	70.0	16%
w3-38	336.0	359.5	23.5	6%
w3-38	368.5	417.5	49.0	11%
