lecture	start	end	dur	dur_pct_of_lecture
w3-16	0.0	10.0	10.0	3%
w3-16	10.0	19.0	9.0	2%
w3-16	20.5	28.5	8.0	2%
w3-16	28.5	37.5	9.0	2%
w3-16	38.5	46.5	8.0	2%
w3-16	46.5	55.5	9.0	2%
w3-16	91.0	99.5	8.5	2%
w3-16	106.5	115.0	8.5	2%
w3-16	115.0	125.0	10.0	3%
w3-16	168.5	178.0	9.5	2%
w3-16	178.0	186.0	8.0	2%
w3-16	217.5	226.5	9.0	2%
w3-16	329.0	349.5	20.5	5%
w3-16	376.0	387.5	11.5	3%
