lecture	start	end	dur	dur_pct_of_lecture
w3-26	91.0	102.0	11.0	4%
w3-26	142.0	151.5	9.5	4%
w3-26	174.5	182.5	8.0	3%
w3-26	241.5	251.5	10.0	4%
