lecture	start	end	dur	dur_pct_of_lecture
w3-06	82.5	92.0	9.5	3%
w3-06	96.0	111.5	15.5	5%
w3-06	137.0	147.5	10.5	3%
w3-06	231.5	241.0	9.5	3%
w3-06	285.5	295.5	10.0	3%
w3-06	300.5	313.5	13.0	4%
