lecture	start	end	dur	dur_pct_of_lecture
w3-36	14.0	25.0	11.0	6%
w3-36	26.0	49.0	23.0	12%
w3-36	49.5	64.0	14.5	8%
w3-36	77.5	105.5	28.0	15%
w3-36	108.5	148.0	39.5	21%
w3-36	148.5	172.0	23.5	12%
w3-36	173.5	191.5	18.0	9%
