lecture	start	end	dur	dur_pct_of_lecture
w3-12	0.5	10.0	9.5	1%
w3-12	10.0	19.0	9.0	1%
w3-12	20.5	35.5	15.0	2%
w3-12	72.5	92.0	19.5	3%
w3-12	108.5	118.0	9.5	1%
w3-12	161.0	179.5	18.5	3%
w3-12	191.0	199.0	8.0	1%
w3-12	235.0	251.0	16.0	2%
w3-12	263.0	271.5	8.5	1%
w3-12	274.5	284.0	9.5	1%
w3-12	284.0	294.5	10.5	2%
w3-12	294.5	310.5	16.0	2%
w3-12	310.5	324.5	14.0	2%
w3-12	324.5	334.5	10.0	1%
w3-12	334.5	381.0	46.5	7%
w3-12	398.0	423.0	25.0	4%
w3-12	464.0	480.0	16.0	2%
w3-12	505.0	515.5	10.5	2%
w3-12	515.5	526.0	10.5	2%
w3-12	526.0	541.5	15.5	2%
w3-12	541.5	555.0	13.5	2%
w3-12	555.0	565.0	10.0	1%
w3-12	580.5	617.0	36.5	5%
w3-12	657.0	675.0	18.0	3%
w3-12	677.0	687.5	10.5	2%
