lecture	start	end	dur	dur_pct_of_lecture
w3-33	3.5	19.5	16.0	5%
w3-33	29.0	50.5	21.5	7%
w3-33	57.0	73.5	16.5	5%
w3-33	74.5	83.5	9.0	3%
w3-33	122.0	138.0	16.0	5%
w3-33	139.5	150.0	10.5	3%
w3-33	184.0	197.5	13.5	4%
w3-33	218.0	242.0	24.0	8%
w3-33	244.5	261.0	16.5	5%
w3-33	266.5	298.0	31.5	10%
w3-33	300.0	317.5	17.5	5%
