lecture	start	end	dur	dur_pct_of_lecture
w3-30	3.0	18.5	15.5	4%
w3-30	21.5	39.0	17.5	5%
w3-30	39.5	76.5	37.0	10%
w3-30	77.5	270.0	192.5	54%
w3-30	277.5	286.5	9.0	3%
