lecture	anchor	event_at	lead	strength	say
w3-32	21.2	16.8	4.4	1973	The review read the repository and found three things. I ran the conso
w3-32	270.7	267.5	3.2	6960	Twenty-eight tests, all passing - one more than before, because fixing
