lecture	start	end	dur	dur_pct_of_lecture
w3-13	7.5	16.0	8.5	1%
w3-13	18.0	29.0	11.0	2%
w3-13	31.5	42.5	11.0	2%
w3-13	46.5	110.0	63.5	11%
w3-13	111.5	120.5	9.0	2%
w3-13	120.5	137.5	17.0	3%
w3-13	178.5	186.5	8.0	1%
w3-13	227.0	246.5	19.5	3%
w3-13	270.0	280.5	10.5	2%
w3-13	308.0	318.0	10.0	2%
w3-13	352.5	370.0	17.5	3%
w3-13	416.0	427.5	11.5	2%
w3-13	427.5	451.0	23.5	4%
w3-13	452.5	460.5	8.0	1%
w3-13	469.0	478.0	9.0	2%
