lecture	start	end	dur	dur_pct_of_lecture
w3-03	14.0	28.0	14.0	8%
w3-03	55.0	72.0	17.0	10%
w3-03	73.0	89.0	16.0	10%
w3-03	115.0	127.5	12.5	8%
w3-03	129.0	144.5	15.5	9%
w3-03	146.5	156.5	10.0	6%
w3-03	156.5	164.5	8.0	5%
