lecture	start	end	dur	dur_pct_of_lecture
w3-24	3.0	13.5	10.5	4%
w3-24	13.5	21.5	8.0	3%
w3-24	23.5	33.0	9.5	3%
w3-24	33.0	44.0	11.0	4%
w3-24	123.0	133.5	10.5	4%
w3-24	159.0	168.5	9.5	3%
w3-24	168.5	179.0	10.5	4%
w3-24	179.0	190.0	11.0	4%
w3-24	190.0	206.0	16.0	6%
w3-24	247.0	272.5	25.5	9%
