lecture	start	end	dur	dur_pct_of_lecture
w3-41	5.5	23.0	17.5	3%
w3-41	40.0	72.0	32.0	6%
w3-41	73.0	82.0	9.0	2%
w3-41	311.5	321.0	9.5	2%
w3-41	321.0	330.5	9.5	2%
w3-41	330.5	341.5	11.0	2%
w3-41	369.0	404.0	35.0	6%
w3-41	404.0	413.5	9.5	2%
w3-41	413.5	428.5	15.0	3%
w3-41	435.5	457.0	21.5	4%
w3-41	459.0	469.5	10.5	2%
