lecture	start	end	dur	dur_pct_of_lecture
w3-40	1.5	16.0	14.5	2%
w3-40	17.0	38.5	21.5	4%
w3-40	39.5	48.5	9.0	2%
w3-40	102.5	111.0	8.5	1%
w3-40	111.0	120.5	9.5	2%
w3-40	140.0	157.5	17.5	3%
w3-40	194.5	203.5	9.0	2%
w3-40	203.5	213.5	10.0	2%
w3-40	213.5	228.0	14.5	2%
w3-40	228.0	237.5	9.5	2%
w3-40	237.5	246.5	9.0	2%
w3-40	246.5	257.0	10.5	2%
w3-40	261.5	270.0	8.5	1%
w3-40	289.0	306.0	17.0	3%
w3-40	307.5	316.5	9.0	2%
w3-40	332.5	356.0	23.5	4%
w3-40	357.5	367.0	9.5	2%
w3-40	411.5	420.5	9.0	2%
w3-40	481.5	502.0	20.5	3%
w3-40	504.0	514.5	10.5	2%
w3-40	533.0	562.5	29.5	5%
w3-40	568.0	589.0	21.0	4%
