lecture	start	end	dur	dur_pct_of_lecture
w3-19	2.5	55.0	52.5	15%
w3-19	56.0	66.0	10.0	3%
w3-19	142.5	165.0	22.5	6%
w3-19	238.0	246.0	8.0	2%
w3-19	318.0	346.5	28.5	8%
