lecture	start	end	dur	dur_pct_of_lecture
w3-17	0.0	10.0	10.0	1%
w3-17	10.0	22.0	12.0	2%
w3-17	95.0	103.5	8.5	1%
w3-17	122.0	132.5	10.5	1%
w3-17	158.5	169.5	11.0	1%
w3-17	180.5	188.5	8.0	1%
w3-17	197.0	206.0	9.0	1%
w3-17	213.5	224.0	10.5	1%
w3-17	244.0	252.0	8.0	1%
w3-17	272.5	292.0	19.5	2%
w3-17	298.5	395.5	97.0	12%
w3-17	410.5	494.5	84.0	11%
w3-17	508.5	519.5	11.0	1%
w3-17	520.5	573.0	52.5	7%
w3-17	574.0	593.0	19.0	2%
w3-17	624.5	635.0	10.5	1%
w3-17	645.0	653.0	8.0	1%
w3-17	666.0	674.0	8.0	1%
w3-17	674.0	688.5	14.5	2%
w3-17	696.5	720.0	23.5	3%
w3-17	720.0	728.5	8.5	1%
w3-17	728.5	739.5	11.0	1%
