lecture	anchor	event_at	lead	strength	say
w3-06	100.3	96.0	4.3	8122	And the bill for the day. Eighty-two percent free, and the biggest lin
w3-06	291.0	278.0	13.0	10131	Look at what this folder now holds. A brief. A memory. Two commands. A
