lecture	start	end	dur	dur_pct_of_lecture
w3-29	2.0	234.5	232.5	16%
w3-29	234.5	255.0	20.5	1%
w3-29	262.0	274.5	12.5	1%
w3-29	282.5	300.5	18.0	1%
w3-29	303.0	311.5	8.5	1%
w3-29	311.5	322.5	11.0	1%
w3-29	322.5	449.5	127.0	9%
w3-29	449.5	514.5	65.0	4%
w3-29	514.5	792.0	277.5	19%
w3-29	792.0	896.5	104.5	7%
w3-29	908.5	1345.5	437.0	30%
w3-29	1345.5	1453.5	108.0	7%
w3-29	1460.5	1473.0	12.5	1%
